127.0.0.1 - - [17/Jun/2024:19:49:01 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Jun/2024:19:49:01 +0700] "GET /WebCosmeticShop/ HTTP/1.1" 200 4942
0:0:0:0:0:0:0:1 - - [17/Jun/2024:19:49:01 +0700] "GET /WebCosmeticShop/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:19:49:01 +0700] "GET /WebCosmeticShop/assets/vendor/chart.js/chart.umd.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Jun/2024:19:49:01 +0700] "GET /WebCosmeticShop/assets/vendor/quill/quill.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [17/Jun/2024:19:49:01 +0700] "GET /WebCosmeticShop/assets/vendor/simple-datatables/simple-datatables.js HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [17/Jun/2024:19:49:12 +0700] "POST /WebCosmeticShop/checkLoginAdminServlet HTTP/1.1" 200 33939
0:0:0:0:0:0:0:1 - - [17/Jun/2024:19:49:12 +0700] "GET /WebCosmeticShop/assets/vendor/quill/quill.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [17/Jun/2024:19:49:12 +0700] "GET /WebCosmeticShop/assets/vendor/chart.js/chart.umd.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Jun/2024:19:49:12 +0700] "GET /WebCosmeticShop/assets/vendor/simple-datatables/simple-datatables.js HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [17/Jun/2024:19:49:12 +0700] "GET /WebCosmeticShop/assets/img/product-3.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [17/Jun/2024:19:49:12 +0700] "GET /WebCosmeticShop/assets/img/product-4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [17/Jun/2024:19:49:12 +0700] "GET /WebCosmeticShop/assets/img/product-2.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [17/Jun/2024:19:49:12 +0700] "GET /WebCosmeticShop/assets/img/product-1.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [17/Jun/2024:19:49:12 +0700] "GET /WebCosmeticShop/assets/img/product-5.jpg HTTP/1.1" 404 803
