0:0:0:0:0:0:0:1 - - [29/May/2024:17:56:04 +0700] "GET /WebCosmeticShop/assets/vendor/quill/quill.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [29/May/2024:17:56:04 +0700] "GET /WebCosmeticShop/assets/vendor/simple-datatables/simple-datatables.js HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [29/May/2024:17:56:04 +0700] "GET /WebCosmeticShop/assets/img/product-2.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [29/May/2024:17:56:04 +0700] "GET /WebCosmeticShop/assets/img/product-1.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [29/May/2024:17:56:04 +0700] "GET /WebCosmeticShop/assets/img/product-3.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [29/May/2024:17:56:04 +0700] "GET /WebCosmeticShop/assets/img/product-4.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [29/May/2024:17:56:04 +0700] "GET /WebCosmeticShop/assets/img/product-5.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [29/May/2024:17:56:08 +0700] "GET /WebCosmeticShop/ShowEmployeeListServlet HTTP/1.1" 200 12305
0:0:0:0:0:0:0:1 - - [29/May/2024:17:56:08 +0700] "GET /WebCosmeticShop/assets/vendor/chart.js/chart.umd.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/May/2024:17:56:08 +0700] "GET /WebCosmeticShop/assets/vendor/quill/quill.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [29/May/2024:17:56:08 +0700] "GET /WebCosmeticShop/assets/vendor/simple-datatables/simple-datatables.js HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [29/May/2024:17:56:09 +0700] "GET /WebCosmeticShop/ShowBrandListServlet HTTP/1.1" 200 29766
0:0:0:0:0:0:0:1 - - [29/May/2024:17:56:09 +0700] "GET /WebCosmeticShop/assets/vendor/simple-datatables/simple-datatables.js HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [29/May/2024:17:56:09 +0700] "GET /WebCosmeticShop/assets/vendor/chart.js/chart.umd.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/May/2024:17:56:09 +0700] "GET /WebCosmeticShop/assets/vendor/quill/quill.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [29/May/2024:17:56:12 +0700] "GET /WebCosmeticShop/ShowProductListServlet HTTP/1.1" 200 16729
0:0:0:0:0:0:0:1 - - [29/May/2024:17:56:12 +0700] "GET /WebCosmeticShop/assets/vendor/chart.js/chart.umd.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/May/2024:17:56:12 +0700] "GET /WebCosmeticShop/assets/vendor/simple-datatables/simple-datatables.js HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [29/May/2024:17:56:12 +0700] "GET /WebCosmeticShop/assets/vendor/quill/quill.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [29/May/2024:18:01:29 +0700] "GET /WebCosmeticShop/ShowProfileServlet HTTP/1.1" 200 23818
0:0:0:0:0:0:0:1 - - [29/May/2024:18:01:29 +0700] "GET /WebCosmeticShop/assets/vendor/chart.js/chart.umd.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/May/2024:18:01:29 +0700] "GET /WebCosmeticShop/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:18:01:29 +0700] "GET /WebCosmeticShop/assets/vendor/quill/quill.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [29/May/2024:18:01:29 +0700] "GET /WebCosmeticShop/assets/vendor/simple-datatables/simple-datatables.js HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [29/May/2024:18:01:57 +0700] "GET /WebCosmeticShop/ShowBrandListServlet HTTP/1.1" 200 29766
0:0:0:0:0:0:0:1 - - [29/May/2024:18:01:57 +0700] "GET /WebCosmeticShop/assets/vendor/chart.js/chart.umd.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/May/2024:18:01:57 +0700] "GET /WebCosmeticShop/assets/vendor/quill/quill.js HTTP/1.1" 404 811
